,degree,degree_centrality,closeness,betweenness,clustering,eigenvector,pagerank,average_neighbor_degree,graph_labels
2972,684,0.06963958460598656,0.5180379746835443,1.3992224366145182e-05,0.5252326766158931,0.003651242906657822,5.591665688583251e-05,2147.062865497076,0
3813,882,0.08979841172877215,0.5235049568276303,1.1374048570082402e-05,0.5833687239557193,0.006928892321370506,4.849890225041721e-05,3025.1678004535147,0
5724,415,0.042252087151293014,0.510790992771335,2.5055957710824246e-06,0.6941505151038938,0.00287877921882295,3.262703602970209e-05,2833.2048192771085,0
9616,210,0.021380574221136223,0.5053768973501415,3.305272323477795e-07,0.8230120756436546,0.0018080693801325552,2.1955855410455386e-05,3608.8761904761905,0
2008,1287,0.1310323762981063,0.5350547475077627,5.345238182288779e-05,0.4230207325075132,0.007299169846587438,0.00011620501963990551,2163.4374514374513,1
7801,489,0.04978619425778864,0.5127642913077526,6.07173505293557e-06,0.587155117503101,0.0026280149881704198,3.9326640263259825e-05,2174.2985685071576,0
4082,624,0.06353084911423336,0.516403785488959,1.640930553331312e-05,0.5260886117627691,0.003232518693592646,5.3997154682316535e-05,2084.5048076923076,0
2178,868,0.08837304011402973,0.5231146144013634,3.503971881754459e-05,0.46501522810262624,0.004594247440174159,7.360984348845419e-05,2089.740783410138,1
4918,571,0.05813479942985136,0.5149688040685786,8.530085446840092e-06,0.552966479245399,0.0034125611414684686,4.273901694186832e-05,2379.872154115587,0
6365,206,0.020973325188352678,0.5052209248495447,6.382184230440572e-07,0.7529718209803458,0.0011529115787551833,2.388295117383839e-05,2328.257281553398,0
3558,741,0.0754428833231521,0.519600063481987,1.0699232624318732e-05,0.5675785096837729,0.005002244811236188,5.0648451098798e-05,2654.3900134952764,1
7389,471,0.04795357361026267,0.5122828978250665,4.423503005779673e-06,0.6025206667570131,0.0034015032325375866,3.236172603454727e-05,2855.016985138004,0
9326,108,0.010995723885155772,0.5026354843662044,0.0,1.0,0.0007691769362353432,1.901810867064107e-05,2966.3425925925926,1
7448,764,0.0777845652616575,0.5202330508474576,9.953535186165903e-06,0.570272347374994,0.00541480707327052,4.6790282230323704e-05,2748.869109947644,1
7148,388,0.03950315618000407,0.5100747818861654,1.8015667812708942e-06,0.6787740749620395,0.0030591890872296475,2.7472161002576536e-05,3131.221649484536,1
6657,296,0.03013642842598249,0.5075968992248062,1.1286251978969735e-06,0.7286532295006871,0.0019856561600760667,2.659173235240135e-05,2782.6385135135133,1
6145,520,0.05294237426186113,0.513595482116712,1.2485071708615396e-05,0.5157996146435453,0.0026255625458111147,4.1733207351221346e-05,2017.9826923076923,0
7782,452,0.04601914070454083,0.5117224132541419,9.170456884013404e-06,0.5328767929674469,0.0020297427479166194,3.8431428036753284e-05,1827.6128318584072,0
8892,374,0.03807778456526166,0.5096513075965131,6.513358552225976e-06,0.5685796619403306,0.0017878088531693226,3.373478676535081e-05,1958.9705882352941,0
9580,108,0.010995723885155772,0.5026354843662044,0.0,1.0,0.0007691769362353432,1.901810867064107e-05,2966.3425925925926,0
9492,585,0.05956017104459377,0.515238944552274,3.6719641038323374e-06,0.6154899894625923,0.004543634079327521,3.319049003038458e-05,2932.109401709402,0
7120,960,0.09773976786805132,0.5255779109589042,1.2317478458578022e-05,0.5509993048314216,0.0067147237133334805,5.6045524776842705e-05,2574.985416666667,0
7266,399,0.040623091020158826,0.5102602732609486,1.4906692340689997e-06,0.7083286104709009,0.003398006673086205,2.7148653456148402e-05,3328.4310776942357,0
8558,630,0.06414172266340867,0.5165395740205101,4.2755978736917316e-06,0.6279153102682514,0.00489442440533709,3.649842701032453e-05,2951.6396825396823,0
6229,990,0.10079413561392792,0.5265358636217433,1.431485146201302e-05,0.5454136920264322,0.007188901540403594,5.3909493221733456e-05,2714.879797979798,0
3716,898,0.09142740785990633,0.5239517763789608,1.5598366432050405e-05,0.49450159278763905,0.005923981960248924,5.003231567869282e-05,2476.88864142539,1
9128,567,0.057727550397067805,0.514860827174084,5.750253075236346e-06,0.5895014988065636,0.003766438579351454,3.995826579734823e-05,2590.880070546737,0
1377,1690,0.17206271635104867,0.547064720953548,5.0052173323208116e-05,0.4654229770775747,0.011449626020428727,0.00010459262870338856,2483.3970414201185,0
